"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.img_url","Answer.Answer_1","Answer.Answer_2","Answer.Answer_3","Answer.Answer_4","Approve","Reject"
"3UXQ63NLAA31HE7C734PM69OVO4BL5","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 11:58:42 PDT 2016","3","BatchId:2453665;","600","28800","Tue Jul 12 11:58:42 PDT 2016","","","3PJUZCGDJ7YP1Y6Q5WMRFFOA2AT89S","A3CEF8UFALSTBY","Approved","Tue Jul 05 12:11:44 PDT 2016","Tue Jul 05 12:15:36 PDT 2016","Tue Jul 05 20:15:36 PDT 2016","Tue Jul 05 12:19:24 PDT 2016","","","232","100% (25/25)","100% (25/25)","100% (25/25)","http://s3.amazonaws.com/caption-scene/upload_batches/1000_2000/1450150621.jpg","0","0","4",""
"3UXQ63NLAA31HE7C734PM69OVO4BL5","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 11:58:42 PDT 2016","3","BatchId:2453665;","600","28800","Tue Jul 12 11:58:42 PDT 2016","","","3WJ1OXY92BY36HGVX20RBAZU8S9A87","A3IVLB1YN1X9H9","Approved","Tue Jul 05 12:08:12 PDT 2016","Tue Jul 05 12:08:21 PDT 2016","Tue Jul 05 20:08:21 PDT 2016","Tue Jul 05 12:19:24 PDT 2016","","","9","100% (220/220)","100% (220/220)","100% (18/18)","http://s3.amazonaws.com/caption-scene/upload_batches/1000_2000/1450150621.jpg","0","0","1",""
"3UXQ63NLAA31HE7C734PM69OVO4BL5","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 11:58:42 PDT 2016","3","BatchId:2453665;","600","28800","Tue Jul 12 11:58:42 PDT 2016","","","3YOH7BII0AP7T6LUHMOQX2MYO26KV3","A610SH5RY1NG1","Approved","Tue Jul 05 12:11:28 PDT 2016","Tue Jul 05 12:11:35 PDT 2016","Tue Jul 05 20:11:35 PDT 2016","Tue Jul 05 12:19:24 PDT 2016","","","7","100% (305/306)","100% (305/306)","100% (34/34)","http://s3.amazonaws.com/caption-scene/upload_batches/1000_2000/1450150621.jpg","0","0","2",""
"3IV1AEQ4DRUCKQL51682FP6VJTE8J1","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 11:58:42 PDT 2016","3","BatchId:2453665;","600","28800","Tue Jul 12 11:58:42 PDT 2016","","","3EICBYG645EGJD9C8KT96VYWO6MJC0","A610SH5RY1NG1","Approved","Tue Jul 05 12:06:04 PDT 2016","Tue Jul 05 12:06:15 PDT 2016","Tue Jul 05 20:06:15 PDT 2016","Tue Jul 05 12:19:25 PDT 2016","","","11","100% (305/306)","100% (305/306)","100% (34/34)","http://s3.amazonaws.com/caption-scene/upload_batches/13000_14000/3318207541.jpg","1","0","0",""
"3IV1AEQ4DRUCKQL51682FP6VJTE8J1","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 11:58:42 PDT 2016","3","BatchId:2453665;","600","28800","Tue Jul 12 11:58:42 PDT 2016","","","3IAS3U3I0GYX3CJYNZRMWU6X4A52BU","A3CEF8UFALSTBY","Approved","Tue Jul 05 12:13:09 PDT 2016","Tue Jul 05 12:17:33 PDT 2016","Tue Jul 05 20:17:33 PDT 2016","Tue Jul 05 12:19:25 PDT 2016","","","264","100% (25/25)","100% (25/25)","100% (25/25)","http://s3.amazonaws.com/caption-scene/upload_batches/13000_14000/3318207541.jpg","1","0","5",""
"3IV1AEQ4DRUCKQL51682FP6VJTE8J1","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 11:58:42 PDT 2016","3","BatchId:2453665;","600","28800","Tue Jul 12 11:58:42 PDT 2016","","","3QFUFYSY9ZXXJ7A1WFW68ZUG3MQ4F7","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 12:07:44 PDT 2016","Tue Jul 05 12:08:20 PDT 2016","Tue Jul 05 20:08:20 PDT 2016","Tue Jul 05 12:19:25 PDT 2016","","","36","100% (259/260)","100% (254/254)","100% (27/27)","http://s3.amazonaws.com/caption-scene/upload_batches/13000_14000/3318207541.jpg","1","0","0",""
"3GV1I4SEO96VB2QHBCNHBQNWHNU6LG","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 11:58:42 PDT 2016","3","BatchId:2453665;","600","28800","Tue Jul 12 11:58:42 PDT 2016","","","3GLB5JMZFYDGX3PP0A3HTOOYHEKGDW","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 12:10:39 PDT 2016","Tue Jul 05 12:12:40 PDT 2016","Tue Jul 05 20:12:40 PDT 2016","Tue Jul 05 12:19:25 PDT 2016","","","121","100% (259/260)","100% (254/254)","100% (27/27)","http://s3.amazonaws.com/caption-scene/upload_batches/30000_31000/7443809320.jpg","1","0","2",""
"3GV1I4SEO96VB2QHBCNHBQNWHNU6LG","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 11:58:42 PDT 2016","3","BatchId:2453665;","600","28800","Tue Jul 12 11:58:42 PDT 2016","","","3HVVDCPGTFAN0J6MG6P25SDOPWYTYQ","A2EOOF9D135HQ1","Approved","Tue Jul 05 12:10:57 PDT 2016","Tue Jul 05 12:11:24 PDT 2016","Tue Jul 05 20:11:24 PDT 2016","Tue Jul 05 12:19:25 PDT 2016","","","27","100% (5/5)","100% (5/5)","100% (5/5)","http://s3.amazonaws.com/caption-scene/upload_batches/30000_31000/7443809320.jpg","1","1","","1"
"3GV1I4SEO96VB2QHBCNHBQNWHNU6LG","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 11:58:42 PDT 2016","3","BatchId:2453665;","600","28800","Tue Jul 12 11:58:42 PDT 2016","","","3WYGZ5XF3XXR1E4QNRJLMF2RPYASK4","A3CEF8UFALSTBY","Approved","Tue Jul 05 12:10:33 PDT 2016","Tue Jul 05 12:14:22 PDT 2016","Tue Jul 05 20:14:22 PDT 2016","Tue Jul 05 12:19:25 PDT 2016","","","229","100% (25/25)","100% (25/25)","100% (25/25)","http://s3.amazonaws.com/caption-scene/upload_batches/30000_31000/7443809320.jpg","1","0","2",""
"3J06WJ78HN1JMXHCQOXVAR1XPEMVVE","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 11:58:42 PDT 2016","3","BatchId:2453665;","600","28800","Tue Jul 12 11:58:42 PDT 2016","","","3B837J3LDPEDOIHLDBSINRO5KQ2RSU","A3L1SMVQ0WV7UG","Approved","Tue Jul 05 12:06:11 PDT 2016","Tue Jul 05 12:09:35 PDT 2016","Tue Jul 05 20:09:35 PDT 2016","Tue Jul 05 12:19:25 PDT 2016","","","204","100% (23/23)","100% (23/23)","100% (12/12)","http://s3.amazonaws.com/caption-scene/upload_batches/7000_8000/2611062891.jpg","1","0","0",""
